Record Length,20480,,Source,CH1
Sample Interval,CH1:0.0000080000000,,Second,Volt
,,,-0.07913599908,4.64000,
,,,-0.07912799716,4.64000,
,,,-0.07912000269,4.56000,
,,,-0.07911200076,4.56000,
,,,-0.07910399884,4.56000,
,,,-0.07909599692,4.64000,
,,,-0.07908800244,4.56000,
,,,-0.07908000052,4.64000,
,,,-0.07907199860,4.64000,
,,,-0.07906399667,4.64000,
,,,-0.07905600220,4.56000,
,,,-0.07904800028,4.56000,
,,,-0.07903999835,4.64000,
,,,-0.07903199643,4.56000,
,,,-0.07902400196,4.56000,
,,,-0.07901600003,4.56000,
,,,-0.07900799811,4.56000,
,,,-0.07899999619,4.56000,
,,,-0.07899200171,4.64000,
,,,-0.07898399979,4.56000,
,,,-0.07897599787,4.56000,
,,,-0.07896800339,4.56000,
,,,-0.07896000147,4.64000,
,,,-0.07895199955,4.56000,
,,,-0.07894399762,4.56000,
,,,-0.07893600315,4.56000,
,,,-0.07892800122,4.64000,
,,,-0.07891999930,4.64000,
,,,-0.07891199738,4.56000,
,,,-0.07890400290,4.64000,
,,,-0.07889600098,4.56000,
,,,-0.07888799906,4.56000,
,,,-0.07887999713,4.56000,
,,,-0.07887200266,4.56000,
,,,-0.07886400074,4.64000,
,,,-0.07885599881,4.56000,
,,,-0.07884799689,4.56000,
,,,-0.07884000242,4.64000,
,,,-0.07883200049,4.64000,
,,,-0.07882399857,4.64000,
,,,-0.07881599665,4.64000,
,,,-0.07880800217,4.56000,
,,,-0.07880000025,4.64000,
,,,-0.07879199833,4.56000,
,,,-0.07878399640,4.64000,
,,,-0.07877600193,4.64000,
,,,-0.07876800001,4.56000,
,,,-0.07875999808,4.56000,
,,,-0.07875199616,4.56000,
,,,-0.07874400169,4.56000,
,,,-0.07873599976,4.56000,
,,,-0.07872799784,4.64000,
,,,-0.07872000337,4.56000,
,,,-0.07871200144,4.56000,
,,,-0.07870399952,4.64000,
,,,-0.07869599760,4.56000,
,,,-0.07868800312,4.56000,
,,,-0.07868000120,4.64000,
,,,-0.07867199928,4.56000,
,,,-0.07866399735,4.56000,
,,,-0.07865600288,4.64000,
,,,-0.07864800096,4.56000,
,,,-0.07863999903,4.56000,
,,,-0.07863199711,4.56000,
,,,-0.07862400264,4.56000,
,,,-0.07861600071,4.56000,
,,,-0.07860799879,4.56000,
,,,-0.07859999686,4.64000,
,,,-0.07859200239,4.56000,
,,,-0.07858400047,4.64000,
,,,-0.07857599854,4.56000,
,,,-0.07856799662,4.56000,
,,,-0.07856000215,4.56000,
,,,-0.07855200022,4.56000,
,,,-0.07854399830,4.64000,
,,,-0.07853599638,4.56000,
,,,-0.07852800190,4.56000,
,,,-0.07851999998,4.56000,
,,,-0.07851199806,4.56000,
,,,-0.07850399613,4.56000,
,,,-0.07849600166,4.56000,
,,,-0.07848799974,4.64000,
,,,-0.07847999781,4.64000,
,,,-0.07847200334,4.56000,
,,,-0.07846400142,4.64000,
,,,-0.07845599949,4.64000,
,,,-0.07844799757,4.56000,
,,,-0.07844000310,4.56000,
,,,-0.07843200117,4.56000,
,,,-0.07842399925,4.56000,
,,,-0.07841599733,4.56000,
,,,-0.07840800285,4.56000,
,,,-0.07840000093,4.56000,
,,,-0.07839199901,4.64000,
,,,-0.07838399708,4.56000,
,,,-0.07837600261,4.56000,
,,,-0.07836800069,4.56000,
,,,-0.07835999876,4.56000,
,,,-0.07835199684,4.56000,
,,,-0.07834400237,4.56000,
,,,-0.07833600044,4.56000,
,,,-0.07832799852,4.56000,
,,,-0.07831999660,4.56000,
,,,-0.07831200212,4.56000,
,,,-0.07830400020,4.56000,
,,,-0.07829599828,4.56000,
,,,-0.07828799635,4.56000,
,,,-0.07828000188,4.56000,
,,,-0.07827199996,4.56000,
,,,-0.07826399803,4.56000,
,,,-0.07825599611,4.56000,
,,,-0.07824800164,4.56000,
,,,-0.07823999971,4.56000,
,,,-0.07823199779,4.56000,
,,,-0.07822400331,4.56000,
,,,-0.07821600139,4.56000,
,,,-0.07820799947,4.56000,
,,,-0.07819999754,4.56000,
,,,-0.07819200307,4.56000,
,,,-0.07818400115,4.56000,
,,,-0.07817599922,4.56000,
,,,-0.07816799730,4.56000,
,,,-0.07816000283,4.56000,
,,,-0.07815200090,4.56000,
,,,-0.07814399898,4.56000,
,,,-0.07813599706,4.56000,
,,,-0.07812800258,4.56000,
,,,-0.07812000066,4.56000,
,,,-0.07811199874,4.64000,
,,,-0.07810399681,4.56000,
,,,-0.07809600234,4.56000,
,,,-0.07808800042,4.56000,
,,,-0.07807999849,4.56000,
,,,-0.07807199657,4.56000,
,,,-0.07806400210,4.64000,
,,,-0.07805600017,4.56000,
,,,-0.07804799825,4.56000,
,,,-0.07803999633,4.56000,
,,,-0.07803200185,4.56000,
,,,-0.07802399993,4.56000,
,,,-0.07801599801,4.56000,
,,,-0.07800799608,4.56000,
,,,-0.07800000161,4.64000,
,,,-0.07799199969,4.56000,
,,,-0.07798399776,4.56000,
,,,-0.07797600329,4.56000,
,,,-0.07796800137,4.56000,
,,,-0.07795999944,4.56000,
,,,-0.07795199752,4.56000,
,,,-0.07794400305,4.56000,
,,,-0.07793600112,4.56000,
,,,-0.07792799920,4.56000,
,,,-0.07791999727,4.56000,
,,,-0.07791200280,4.64000,
,,,-0.07790400088,4.56000,
,,,-0.07789599895,4.56000,
,,,-0.07788799703,4.56000,
,,,-0.07788000256,4.56000,
,,,-0.07787200063,4.56000,
,,,-0.07786399871,4.56000,
,,,-0.07785599679,4.56000,
,,,-0.07784800231,4.56000,
,,,-0.07784000039,4.56000,
,,,-0.07783199847,4.56000,
,,,-0.07782399654,4.56000,
,,,-0.07781600207,4.56000,
,,,-0.07780800015,4.56000,
,,,-0.07779999822,4.56000,
,,,-0.07779199630,4.56000,
,,,-0.07778400183,4.56000,
,,,-0.07777599990,4.56000,
,,,-0.07776799798,4.56000,
,,,-0.07776000351,4.56000,
,,,-0.07775200158,4.56000,
,,,-0.07774399966,4.56000,
,,,-0.07773599774,4.56000,
,,,-0.07772800326,4.56000,
,,,-0.07772000134,4.56000,
,,,-0.07771199942,4.56000,
,,,-0.07770399749,4.56000,
,,,-0.07769600302,4.56000,
,,,-0.07768800110,4.56000,
,,,-0.07767999917,4.56000,
,,,-0.07767199725,4.56000,
,,,-0.07766400278,4.56000,
,,,-0.07765600085,4.56000,
,,,-0.07764799893,4.56000,
,,,-0.07763999701,4.56000,
,,,-0.07763200253,4.56000,
,,,-0.07762400061,4.56000,
,,,-0.07761599869,4.56000,
,,,-0.07760799676,4.56000,
,,,-0.07760000229,4.56000,
,,,-0.07759200037,4.56000,
,,,-0.07758399844,4.56000,
,,,-0.07757599652,4.56000,
,,,-0.07756800205,4.56000,
,,,-0.07756000012,4.56000,
,,,-0.07755199820,4.56000,
,,,-0.07754399627,4.56000,
,,,-0.07753600180,4.56000,
,,,-0.07752799988,4.56000,
,,,-0.07751999795,4.56000,
,,,-0.07751200348,4.56000,
,,,-0.07750400156,4.56000,
,,,-0.07749599963,4.56000,
,,,-0.07748799771,4.56000,
,,,-0.07748000324,4.56000,
,,,-0.07747200131,4.56000,
,,,-0.07746399939,4.56000,
,,,-0.07745599747,4.56000,
,,,-0.07744800299,4.56000,
,,,-0.07744000107,4.56000,
,,,-0.07743199915,4.56000,
,,,-0.07742399722,4.56000,
,,,-0.07741600275,4.56000,
,,,-0.07740800083,4.56000,
,,,-0.07739999890,4.56000,
,,,-0.07739199698,4.56000,
,,,-0.07738400251,4.56000,
,,,-0.07737600058,4.56000,
,,,-0.07736799866,4.56000,
,,,-0.07735999674,4.56000,
,,,-0.07735200226,4.56000,
,,,-0.07734400034,4.56000,
,,,-0.07733599842,4.56000,
,,,-0.07732799649,4.56000,
,,,-0.07732000202,4.56000,
,,,-0.07731200010,4.56000,
,,,-0.07730399817,4.56000,
,,,-0.07729599625,4.56000,
,,,-0.07728800178,4.56000,
,,,-0.07727999985,4.56000,
,,,-0.07727199793,4.56000,
,,,-0.07726400346,4.56000,
,,,-0.07725600153,4.56000,
,,,-0.07724799961,4.56000,
,,,-0.07723999768,4.64000,
,,,-0.07723200321,4.56000,
,,,-0.07722400129,4.56000,
,,,-0.07721599936,4.56000,
,,,-0.07720799744,4.56000,
,,,-0.07720000297,4.56000,
,,,-0.07719200104,4.56000,
,,,-0.07718399912,4.56000,
,,,-0.07717599720,4.56000,
,,,-0.07716800272,4.56000,
,,,-0.07716000080,4.56000,
,,,-0.07715199888,4.56000,
,,,-0.07714399695,4.56000,
,,,-0.07713600248,4.56000,
,,,-0.07712800056,4.56000,
,,,-0.07711999863,4.56000,
,,,-0.07711199671,4.56000,
,,,-0.07710400224,4.56000,
,,,-0.07709600031,4.56000,
,,,-0.07708799839,4.56000,
,,,-0.07707999647,4.56000,
,,,-0.07707200199,4.56000,
,,,-0.07706400007,4.56000,
,,,-0.07705599815,4.56000,
,,,-0.07704799622,4.56000,
,,,-0.07704000175,4.56000,
,,,-0.07703199983,4.56000,
,,,-0.07702399790,4.56000,
,,,-0.07701600343,4.56000,
,,,-0.07700800151,4.56000,
,,,-0.07699999958,4.56000,
,,,-0.07699199766,4.56000,
,,,-0.07698400319,4.56000,
,,,-0.07697600126,4.56000,
,,,-0.07696799934,4.56000,
,,,-0.07695999742,4.56000,
,,,-0.07695200294,4.56000,
,,,-0.07694400102,4.56000,
,,,-0.07693599910,4.56000,
,,,-0.07692799717,4.56000,
,,,-0.07692000270,4.56000,
,,,-0.07691200078,4.56000,
,,,-0.07690399885,4.56000,
,,,-0.07689599693,4.56000,
,,,-0.07688800246,4.56000,
,,,-0.07688000053,4.56000,
,,,-0.07687199861,4.56000,
,,,-0.07686399668,4.56000,
,,,-0.07685600221,4.56000,
,,,-0.07684800029,4.56000,
,,,-0.07683999836,4.56000,
,,,-0.07683199644,4.56000,
,,,-0.07682400197,4.56000,
,,,-0.07681600004,4.56000,
,,,-0.07680799812,4.56000,
,,,-0.07679999620,4.56000,
,,,-0.07679200172,4.56000,
,,,-0.07678399980,4.56000,
,,,-0.07677599788,4.56000,
,,,-0.07676800340,4.56000,
,,,-0.07676000148,4.56000,
,,,-0.07675199956,4.56000,
,,,-0.07674399763,4.56000,
,,,-0.07673600316,4.56000,
,,,-0.07672800124,4.56000,
,,,-0.07671999931,4.56000,
,,,-0.07671199739,4.56000,
,,,-0.07670400292,4.56000,
,,,-0.07669600099,4.56000,
,,,-0.07668799907,4.56000,
,,,-0.07667999715,4.56000,
,,,-0.07667200267,4.56000,
,,,-0.07666400075,4.56000,
,,,-0.07665599883,4.56000,
,,,-0.07664799690,4.56000,
,,,-0.07664000243,4.56000,
,,,-0.07663200051,4.56000,
,,,-0.07662399858,4.56000,
,,,-0.07661599666,4.56000,
,,,-0.07660800219,4.56000,
,,,-0.07660000026,4.56000,
,,,-0.07659199834,4.56000,
,,,-0.07658399642,4.56000,
,,,-0.07657600194,4.56000,
,,,-0.07656800002,4.56000,
,,,-0.07655999810,4.56000,
